2026-02-26T19:51:13.457Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 2/5 → 4/11, Oleksandr Strutinskiy: 7/4 → 2/1
2026-02-26T19:51:22.927Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 4/11 → 2/5, Oleksandr Strutinskiy: 2/1 → 7/4
2026-02-26T19:51:38.262Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 2/5 → 4/11, Oleksandr Strutinskiy: 7/4 → 2/1
2026-02-26T19:51:47.727Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 4/11 → 3/10, Oleksandr Strutinskiy: 2/1 → 12/5
2026-02-26T19:51:55.397Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 3/10 → 1/4, Oleksandr Strutinskiy: 12/5 → 11/4
2026-02-26T19:52:04.870Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 1/4 → 2/9, Oleksandr Strutinskiy: 11/4 → 3/1
2026-02-26T19:52:17.510Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 2/9 → 1/4, Oleksandr Strutinskiy: 3/1 → 11/4
2026-02-26T19:52:26.977Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 1/4 → 3/10, Oleksandr Strutinskiy: 11/4 → 12/5
2026-02-26T19:52:35.992Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 3/10 → 4/11, Oleksandr Strutinskiy: 12/5 → 2/1
2026-02-26T19:52:40.061Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 4/11 → 2/7, Oleksandr Strutinskiy: 2/1 → 5/2
2026-02-26T19:52:52.227Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 2/7 → 2/9, Oleksandr Strutinskiy: 5/2 → 3/1
2026-02-26T19:53:01.247Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 2/9 → 1/5, Oleksandr Strutinskiy: 3/1 → 10/3
2026-02-26T19:53:07.113Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 1/5 → 1/6, Oleksandr Strutinskiy: 10/3 → 7/2
2026-02-26T19:53:11.174Z [ODDS] (serving: Oleksandr Seliuchenko)  Oleksandr Seliuchenko: 1/6 → 1/5, Oleksandr Strutinskiy: 7/2 → 10/3
